passcode 	title 	url 	filename 	decode_method_tags
1#Z1T1!1!D4!S4!B!F1@1R1A!1!B!J2G@U#F%V#2F1$R1!K!2!J 	Via Noir Anomaly Intel – I 	https://ingress.codes/2016/11/03/via-noir-anomaly-intel-i/ 	code\Via Noir Anomaly Intel – I.html 	atbash,keyboard shift,keyword substitution,morse,rot
xzxy60uxbq38rcuy3ffcpy38czzxqxj 	Sumoya beneath the waves 	https://ingress.codes/2016/11/06/sumoya-beneath-the-waves/ 	code\Sumoya beneath the waves.html 	atbash,binary,braille,morse
-..-l..-.-s-----f--...7--..2..-.h..--f--..y..-.h-..g-...i-..-z-.-.g.-..v--.8--..7.-.-3-..b---g--. 	Sumoya beneath the waves 	https://ingress.codes/2016/11/06/sumoya-beneath-the-waves/ 	code\Sumoya beneath the waves.html 	atbash,binary,braille,morse
)()))&)%!$!()&^)%)*)%)*!#)*)!!) 	Discoveries from Seattle 	https://ingress.codes/2016/11/04/discoveries-from-seattle/ 	code\Discoveries from Seattle.html 	decimal,keyboard shift,keyword substitution,numbers to letters,transposition
y9hls5b6ii5yeplp3c 	Discoveries from Seattle 	https://ingress.codes/2016/11/04/discoveries-from-seattle/ 	code\Discoveries from Seattle.html 	decimal,keyboard shift,keyword substitution,numbers to letters,transposition
2544295850304528343123415554554533 	Worlds Enough 	https://ingress.codes/2016/10/24/worlds-enough/ 	code\Worlds Enough.html 	atbash,base64,keyword substitution,letters to numbers,numbers to letters,polybius
170409231303H131720L1920af0520JKc12b2117 	Worlds Enough 	https://ingress.codes/2016/10/24/worlds-enough/ 	code\Worlds Enough.html 	atbash,base64,keyword substitution,letters to numbers,numbers to letters,polybius
#%!@$!@!@$$$@##!#$$#$#$#@$$$%@$#@$!$$$ 	Worlds Enough 	https://ingress.codes/2016/10/24/worlds-enough/ 	code\Worlds Enough.html 	atbash,base64,keyword substitution,letters to numbers,numbers to letters,polybius
tshm35iga35cmb2 	In Different Times 	https://ingress.codes/2016/10/23/in-different-times/ 	code\In Different Times.html 	atbash,hexadecimal,keyword substitution,reverse,transposition
3645173717564516657656x6x6u67667376595u6 	In Different Times 	https://ingress.codes/2016/10/23/in-different-times/ 	code\In Different Times.html 	atbash,hexadecimal,keyword substitution,reverse,transposition
24hwge5105ry595 	In Different Times 	https://ingress.codes/2016/10/23/in-different-times/ 	code\In Different Times.html 	atbash,hexadecimal,keyword substitution,reverse,transposition
bcbbbbccdbcdgcbbecbbddfcbebdbdbccbbbbdcbccdcbdbbbbbcdbcccbbbcdcbccbcdcbbbbbdbbdebbb 	PAC'S WEEKLY WRAP-UP OCTOBER 23, 2016 	https://ingress.codes/2016/10/27/pacs-weekly-wrap-up-october-23-2016/ 	code\PAC'S WEEKLY WRAP-UP OCTOBER 23, 2016.html 	binary,letters to numbers,run length encoding,transposition,vigenere autokey
xlhgvvrwwzzrptpnihhpkgafctille 	PAC'S WEEKLY WRAP-UP OCTOBER 23, 2016 	https://ingress.codes/2016/10/27/pacs-weekly-wrap-up-october-23-2016/ 	code\PAC'S WEEKLY WRAP-UP OCTOBER 23, 2016.html 	binary,letters to numbers,run length encoding,transposition,vigenere autokey
eedpnbeecsilniytnaigthecnhhrbketrego 	PAC'S WEEKLY WRAP-UP OCTOBER 23, 2016 	https://ingress.codes/2016/10/27/pacs-weekly-wrap-up-october-23-2016/ 	code\PAC'S WEEKLY WRAP-UP OCTOBER 23, 2016.html 	binary,letters to numbers,run length encoding,transposition,vigenere autokey
f7fbff9fffeddbb77efdfe17f85be1efffeffe6df0b7c2dedfecffb0 	Intel Alert Seattle 	https://ingress.codes/2016/11/02/intel-alert-seattle/ 	code\Intel Alert Seattle.html 	rot,transposition,unknown
4aan24luo27gqwy 	Intel Alert Seattle 	https://ingress.codes/2016/11/02/intel-alert-seattle/ 	code\Intel Alert Seattle.html 	rot,transposition,unknown
qprfjvfnjnfwbvfnjnfsjxgovrhk 	Intel Alert Seattle 	https://ingress.codes/2016/11/02/intel-alert-seattle/ 	code\Intel Alert Seattle.html 	rot,transposition,unknown
5c4p3js324p9pf73 	Transformation 	https://ingress.codes/2016/10/26/transformation/ 	code\Transformation.html 	atbash,binary,keyword substitution,letters to numbers,phone,transposition
ffhhhhfhhhheeeijddfffeeeggiggeeehhhhddijhjj 	Transformation 	https://ingress.codes/2016/10/26/transformation/ 	code\Transformation.html 	atbash,binary,keyword substitution,letters to numbers,phone,transposition
\///\/\\\//\\//\\///\///\///\//\\///\\/\\///\/\\\///\\//\//\\///\///\//\\///\\/\\///\/\\\///\\//\//\\///\//\\///\///\\//\//\/\\/\///\//\\///\//\\//\/\\\\///\\/\\//\\\//\//\//\/\///\\/\\//\//\/\///\//\\///\\\/\////\\\ 	Transformation 	https://ingress.codes/2016/10/26/transformation/ 	code\Transformation.html 	atbash,binary,keyword substitution,letters to numbers,phone,transposition
om42k4an2hd2ux 	Year Four 	https://ingress.codes/2016/11/05/year-four/ 	code\Year Four.html 	morse,translation,transposition
auqkmptniuqtuqhturtpesniawevon 	Year Four 	https://ingress.codes/2016/11/05/year-four/ 	code\Year Four.html 	morse,translation,transposition
….– …….. .. ——–.. –…….. ……—- ……—- ——…. ..—— …….. 	Year Four 	https://ingress.codes/2016/11/05/year-four/ 	code\Year Four.html 	morse,translation,transposition
x1w0z04.51..5609.90b.o 	Time and Change 	https://ingress.codes/2016/10/25/time-and-change/ 	code\Time and Change.html 	keyword substitution,roman numerals,rot,transposition
ocehoccerrgocccrerorekoforeoorrzogocerrrroccrrl 	Time and Change 	https://ingress.codes/2016/10/25/time-and-change/ 	code\Time and Change.html 	keyword substitution,roman numerals,rot,transposition
oenibsbkgebgmhyhfriraguerrrpubabirzoreqrygnsbhervtugrvtuglnaxrroenib 	Time and Change 	https://ingress.codes/2016/10/25/time-and-change/ 	code\Time and Change.html 	keyword substitution,roman numerals,rot,transposition
